n_factors_true,n_factors_final,factor_match,n_true_items,n_weak_items,total_items,N,ratio,kmo_overall,meets_kmo_criterion,meets_ratio_criterion,precision,recall,n_iter
3,3,True,9,15,24,279,11.625,0.6515143497841783,True,True,1.0,0.8888888888888888,17
3,3,True,12,5,17,158,9.294117647058824,0.7609846545436334,True,True,1.0,1.0,6
3,3,True,12,7,19,150,7.894736842105263,0.7494127842606509,True,True,1.0,0.9166666666666666,9
3,3,True,18,9,27,261,9.666666666666666,0.8382827213055631,True,True,1.0,0.8888888888888888,12
2,2,True,6,9,15,165,11.0,0.6390743554659694,True,True,1.0,1.0,10
2,2,True,10,7,17,150,8.823529411764707,0.7949552745654206,True,True,1.0,1.0,8
3,3,True,18,10,28,321,11.464285714285714,0.8381462682129629,True,True,1.0,1.0,11
3,3,True,15,8,23,263,11.434782608695652,0.81562650397826,True,True,1.0,1.0,9
2,2,True,10,14,24,193,8.041666666666666,0.7198272957397367,True,True,1.0,0.7,18
3,3,True,9,11,20,212,10.6,0.6998928476035268,True,True,1.0,1.0,12
2,2,True,8,11,19,150,7.894736842105263,0.6992678492143183,True,True,1.0,1.0,12
2,1,False,10,6,16,165,10.3125,0.769432487008195,True,True,1.0,0.5,12
2,2,True,6,9,15,164,10.933333333333334,0.6133105707162122,True,True,1.0,1.0,10
3,3,True,9,9,18,183,10.166666666666666,0.6707637209726511,True,True,1.0,1.0,10
2,2,True,12,12,24,276,11.5,0.8303691566804219,True,True,1.0,1.0,13
2,2,True,6,14,20,231,11.55,0.7207216449915758,True,True,1.0,1.0,15
2,2,True,6,5,11,150,13.636363636363637,0.6975025763654884,True,True,1.0,1.0,6
3,3,True,12,14,26,307,11.807692307692308,0.7449447073330069,True,True,1.0,1.0,15
3,3,True,12,15,27,233,8.62962962962963,0.7471172300912952,True,True,1.0,1.0,16
3,3,True,9,14,23,186,8.08695652173913,0.6669148165817984,True,True,1.0,1.0,15
3,3,True,18,11,29,298,10.275862068965518,0.8094150408097504,True,True,1.0,0.9444444444444444,13
2,2,True,8,11,19,184,9.68421052631579,0.7749238325169182,True,True,1.0,1.0,12
3,3,True,9,13,22,189,8.590909090909092,0.6505133458111442,True,True,1.0,0.8888888888888888,15
2,2,True,6,10,16,171,10.6875,0.6249817217592586,True,True,1.0,1.0,11
3,3,True,12,14,26,293,11.26923076923077,0.7342305602421595,True,True,1.0,1.0,15
2,2,True,6,15,21,183,8.714285714285714,0.6902757565608448,True,True,1.0,1.0,16
2,2,True,6,15,21,238,11.333333333333334,0.6820671678192771,True,True,1.0,1.0,16
3,3,True,18,8,26,292,11.23076923076923,0.8359888373161467,True,True,1.0,1.0,9
2,2,True,12,11,23,226,9.826086956521738,0.8256029936758718,True,True,1.0,1.0,12
3,3,True,15,7,22,228,10.363636363636363,0.7972734362668051,True,True,1.0,1.0,8
2,2,True,12,12,24,199,8.291666666666666,0.7868188115056638,True,True,1.0,0.9166666666666666,14
2,2,True,6,12,18,191,10.61111111111111,0.6297283271658817,True,True,1.0,0.8333333333333334,14
2,2,True,10,10,20,150,7.5,0.7191096366346745,True,True,1.0,1.0,11
3,3,True,9,12,21,223,10.619047619047619,0.6313401733312496,True,True,1.0,1.0,13
2,2,True,12,6,18,150,8.333333333333334,0.8376127499534718,True,True,1.0,1.0,7
2,2,True,10,7,17,186,10.941176470588236,0.7836599546000528,True,True,1.0,1.0,8
3,3,True,15,14,29,341,11.758620689655173,0.8150689259373378,True,True,1.0,1.0,15
2,2,True,12,7,19,150,7.894736842105263,0.8325077266873303,True,True,1.0,1.0,8
2,2,True,10,7,17,163,9.588235294117647,0.7612312509549028,True,True,1.0,1.0,8
3,3,True,9,13,22,212,9.636363636363637,0.6819864859918867,True,True,1.0,1.0,14
2,2,True,12,5,17,197,11.588235294117647,0.8477976324287363,True,True,1.0,1.0,6
2,2,True,12,12,24,284,11.833333333333334,0.8462922215937526,True,True,1.0,1.0,13
3,3,True,15,6,21,223,10.619047619047619,0.7916027227450068,True,True,1.0,1.0,7
3,3,True,12,5,17,150,8.823529411764707,0.7411689700176328,True,True,1.0,0.9166666666666666,7
3,3,True,15,7,22,184,8.363636363636363,0.7675319431837596,True,True,1.0,1.0,8
2,2,True,8,10,18,195,10.833333333333334,0.7643779875038378,True,True,1.0,1.0,11
2,2,True,8,9,17,150,8.823529411764707,0.7312908515096589,True,True,1.0,1.0,10
3,3,True,9,11,20,225,11.25,0.7199604914653537,True,True,1.0,1.0,12
2,2,True,12,9,21,201,9.571428571428571,0.8525690987296551,True,True,1.0,1.0,10
2,2,True,6,15,21,176,8.380952380952381,0.6273636272355672,True,True,1.0,1.0,16
2,2,True,6,7,13,156,12.0,0.6449252619007014,True,True,1.0,1.0,8
2,2,True,6,6,12,150,12.5,0.6757285942003651,True,True,1.0,0.8333333333333334,8
3,3,True,9,14,23,202,8.782608695652174,0.6904765110649665,True,True,1.0,1.0,15
2,2,True,8,5,13,150,11.538461538461538,0.769723884717888,True,True,1.0,1.0,6
2,2,True,12,11,23,244,10.608695652173912,0.8152513135933768,True,True,1.0,1.0,12
3,3,True,18,11,29,341,11.758620689655173,0.8359928042248397,True,True,1.0,0.9444444444444444,13
3,3,True,9,8,17,154,9.058823529411764,0.6719048282598562,True,True,1.0,1.0,9
3,3,True,9,12,21,172,8.19047619047619,0.6178019436055859,True,True,1.0,1.0,13
3,3,True,15,5,20,150,7.5,0.790308668693345,True,True,1.0,1.0,6
3,3,True,12,9,21,195,9.285714285714286,0.7162335060404068,True,True,1.0,0.8333333333333334,12
3,3,True,18,5,23,192,8.347826086956522,0.8168270924405647,True,True,1.0,0.9444444444444444,7
2,2,True,10,13,23,179,7.782608695652174,0.7969545169931964,True,True,1.0,1.0,14
2,2,True,10,12,22,158,7.181818181818182,0.7662851527088049,True,True,1.0,0.9,14
3,3,True,18,14,32,233,7.28125,0.810366648192031,True,True,1.0,1.0,15
3,3,True,15,8,23,172,7.478260869565218,0.7514268170512418,True,True,1.0,1.0,9
3,3,True,12,10,22,215,9.772727272727273,0.7442791012907327,True,True,1.0,1.0,11
3,3,True,15,12,27,237,8.777777777777779,0.7819814898065638,True,True,1.0,1.0,13
2,2,True,10,10,20,158,7.9,0.7478512382437563,True,True,1.0,0.9,12
3,3,True,18,9,27,290,10.74074074074074,0.8658946095552298,True,True,1.0,0.9444444444444444,11
2,2,True,6,5,11,150,13.636363636363637,0.6849381060130395,True,True,1.0,0.8333333333333334,7
2,2,True,12,13,25,223,8.92,0.8383000779758281,True,True,1.0,1.0,14
2,2,True,12,12,24,260,10.833333333333334,0.8483954940556057,True,True,1.0,1.0,13
3,3,True,15,9,24,195,8.125,0.8015288380439711,True,True,1.0,1.0,10
2,2,True,12,6,18,167,9.277777777777779,0.8198883739882417,True,True,1.0,1.0,7
3,3,True,9,8,17,169,9.941176470588236,0.6918426178207555,True,True,1.0,1.0,9
2,2,True,6,8,14,154,11.0,0.6938527374134079,True,True,1.0,1.0,9
3,3,True,15,11,26,262,10.076923076923077,0.7962127297341285,True,True,1.0,1.0,12
2,2,True,8,8,16,184,11.5,0.7710293654131888,True,True,1.0,1.0,9
2,2,True,10,6,16,169,10.5625,0.77640963459094,True,True,1.0,0.9,8
3,3,True,12,10,22,264,12.0,0.8009425967653643,True,True,0.9166666666666666,0.9166666666666666,11
3,3,True,9,12,21,212,10.095238095238095,0.6981060138182029,True,True,1.0,1.0,13
2,2,True,6,5,11,150,13.636363636363637,0.7324775591203254,True,True,1.0,1.0,6
2,2,True,6,7,13,150,11.538461538461538,0.6844880785161654,True,True,1.0,1.0,8
3,3,True,9,12,21,237,11.285714285714286,0.6958558026872218,True,True,1.0,0.8888888888888888,14
2,2,True,12,11,23,192,8.347826086956522,0.8279835027451892,True,True,1.0,1.0,12
3,3,True,9,8,17,178,10.470588235294118,0.6664205949177008,True,True,1.0,1.0,9
3,3,True,18,11,29,284,9.793103448275861,0.842009490610115,True,True,1.0,1.0,12
3,3,True,9,8,17,189,11.117647058823529,0.6315823117280037,True,True,1.0,1.0,9
3,3,True,18,14,32,246,7.6875,0.8179167133673534,True,True,1.0,0.9444444444444444,16
3,3,True,15,14,29,290,10.0,0.7962800130968297,True,True,1.0,1.0,15
3,3,True,9,14,23,254,11.043478260869565,0.7012736411571395,True,True,1.0,1.0,15
3,3,True,9,14,23,264,11.478260869565217,0.6538101482045319,True,True,1.0,0.8888888888888888,16
3,3,True,12,14,26,205,7.884615384615385,0.7093591615479985,True,True,1.0,1.0,15
2,1,False,6,8,14,162,11.571428571428571,0.6353279380164224,True,True,1.0,0.5,12
2,2,True,10,8,18,168,9.333333333333334,0.7819919782013409,True,True,1.0,0.9,10
2,1,False,6,12,18,186,10.333333333333334,0.6008119777985705,True,True,1.0,0.5,16
2,2,True,10,11,21,202,9.619047619047619,0.7952442641794243,True,True,1.0,1.0,12
2,2,True,10,7,17,167,9.823529411764707,0.8292393590231126,True,True,1.0,1.0,8
2,2,True,12,13,25,200,8.0,0.8345551565096381,True,True,1.0,1.0,14
2,2,True,12,15,27,315,11.666666666666666,0.8717797834078168,True,True,1.0,1.0,16
3,3,True,12,13,25,213,8.52,0.7197251166393372,True,True,1.0,0.9166666666666666,15
2,2,True,6,6,12,150,12.5,0.6964970415735483,True,True,1.0,1.0,7
2,2,True,12,12,24,261,10.875,0.8691148198490543,True,True,1.0,1.0,13
2,2,True,6,7,13,150,11.538461538461538,0.6627993234481211,True,True,1.0,0.8333333333333334,9
2,2,True,10,10,20,230,11.5,0.7594340977481432,True,True,1.0,1.0,11
2,2,True,12,6,18,154,8.555555555555555,0.8283620345832914,True,True,1.0,1.0,7
2,2,True,6,7,13,150,11.538461538461538,0.6591406161588784,True,True,1.0,1.0,8
3,3,True,12,11,23,237,10.304347826086957,0.7425909007616084,True,True,1.0,1.0,12
2,2,True,8,14,22,207,9.409090909090908,0.7102304160029765,True,True,1.0,1.0,15
2,2,True,6,10,16,188,11.75,0.6647675775363272,True,True,1.0,1.0,11
3,3,True,12,9,21,156,7.428571428571429,0.7570450215425347,True,True,1.0,1.0,10
3,3,True,15,5,20,228,11.4,0.7655248913043933,True,True,1.0,1.0,6
2,2,True,12,6,18,213,11.833333333333334,0.8551413154330094,True,True,1.0,1.0,7
3,3,True,15,11,26,220,8.461538461538462,0.8116643688108764,True,True,1.0,1.0,12
2,2,True,8,15,23,259,11.26086956521739,0.7382465350379386,True,True,1.0,1.0,16
3,3,True,12,7,19,213,11.210526315789474,0.777492199468757,True,True,1.0,1.0,8
3,3,True,15,7,22,242,11.0,0.7914124802497899,True,True,1.0,0.9333333333333333,9
2,2,True,8,14,22,198,9.0,0.7333066460786638,True,True,1.0,1.0,15
2,2,True,8,13,21,234,11.142857142857142,0.7574693310515253,True,True,1.0,1.0,14
2,2,True,12,7,19,174,9.157894736842104,0.8117886797267082,True,True,1.0,0.9166666666666666,9
2,2,True,12,14,26,283,10.884615384615385,0.8016710717071541,True,True,1.0,0.9166666666666666,16
3,3,True,18,7,25,295,11.8,0.8820356128479672,True,True,1.0,1.0,8
3,2,False,9,8,17,163,9.588235294117647,0.6425294514409999,True,True,1.0,0.6666666666666666,12
2,2,True,10,12,22,221,10.045454545454545,0.8259842820582927,True,True,1.0,1.0,13
3,3,True,15,11,26,271,10.423076923076923,0.788006154794486,True,True,1.0,0.9333333333333333,13
3,3,True,9,12,21,207,9.857142857142858,0.6833767531656146,True,True,1.0,1.0,13
3,3,True,9,10,19,221,11.631578947368421,0.6724064962094142,True,True,1.0,1.0,11
2,2,True,12,11,23,162,7.043478260869565,0.8334404758729764,True,True,1.0,1.0,12
2,2,True,12,10,22,200,9.090909090909092,0.8526967654500548,True,True,1.0,1.0,11
3,3,True,9,11,20,180,9.0,0.6884571340146801,True,True,1.0,1.0,12
2,2,True,8,8,16,184,11.5,0.7389777163615027,True,True,1.0,1.0,9
3,2,False,9,10,19,227,11.947368421052632,0.6942121658150335,True,True,1.0,0.6666666666666666,14
2,2,True,12,6,18,171,9.5,0.8458480877168039,True,True,1.0,1.0,7
2,2,True,6,11,17,194,11.411764705882353,0.6638982999877208,True,True,1.0,0.8333333333333334,13
